--- SUMMARY ---
Metric,Value
Risk Score,78.9
Risk Level,CRITICAL
Predicted Crime,Homicidio (Homicide)
Forecast Duration,7 days
Affected Zones,Bello; Robledo; Envigado; Itagüí; Belén

--- ZONE RISKS ---
Zone,Risk Score
Bello,89
2025-03-12,Secuestró toda una familia para robar sus pertenencias en una finca de recreo en Copacabana,www.alertapaisa.com,0.4
2025-01-16,Bello registró disminución en homicidios y extorsión, pero aumento de robo de motos en 2024,caracol.com.co,0.4
2024-12-02,Operativo | Revelaciones del bajo mundo,www.elcolombiano.com,0.4
2024-12-02,En Itagüí capturamos en flagrancia a hombre por extorsión,www.policia.gov.co,0.4
2024-12-02,Con estupefacientes son capturados en el barrio Alfonso López de la capital risaraldense,www.policia.gov.co,0.4
2024-04-12,Escalada de secuestros exprés en el Valle de Aburrá: van dos casos en Bello en una semana,www.infobae.com,0.4
2024-04-12,Escalada de secuestros exprés en el Valle de Aburrá: van dos casos en Bello en una semana,www.infobae.com,0.4
2024-03-08,Delegados de la mesa de paz alertan riesgo del proceso tras muerte de alias 'Pichi Gordo',caracol.com.co,0.4
2023-09-22,Capturaron a 3 personas que tenían secuestrado a un conductor de plataforma digital en Bello,coosmovision.com,0.4
2018-07-31,Dos personas fueron asesinadas en la comuna 16 de Medellín,www.noticiasrcn.com,0.4
2017-10-05,Encuesta sobre extorsión en el Valle de Aburrá,www.elcolombiano.com,0.4
2025-11-03,Capturaron al hombre señalado de extorsionar al alcalde de La Estrella, Antioquia,www.bluradio.com,0.3
2025-11-03,Capturan a hombre que intentó extorsionar al alcalde de La Estrella, Antioquia: le exigía $9 millones para no destapar supuesta corrupción,www.infobae.com,0.3
2025-11-01,Enviaron a la cárcel a abogado acusado de extorsionar a alcalde de La Estrella, Antioquia,www.elespectador.com,0.3
2025-10-23,En video: así detuvieron al sobrino de la periodista María Victoria Correa por homicidio,www.infobae.com,0.3
2025-10-15,Un juez decide hoy si avala preacuerdo con sicarios del asesinato de reconocida periodista y su hermana en Envigado,www.alertapaisa.com,0.3
2025-08-01,Conmoción en Envigado, Antioquia, por asesinato de Peio Neio: lo asesinaron y arrojaron a una quebrada,www.agenciapi.co,0.3
2025-03-28,Por unas propiedades habrían matado a dos hermanas en Envigado,www.elcolombiano.com,0.3
2025-02-25,25 febrero 2025. Aumento de muertes de extranjeros en Colombia en 2024,fundacionio.com,0.3
2025-01-16,Canadiense habría torturado y secuestrado a su empleada doméstica en Medellín,www.alertapaisa.com,0.3
2025-01-10,La paz total se está tomando al Valle de Aburrá y Antioquia,www.radionacional.co,0.3
2025-01-10,La paz total se está tomando al Valle de Aburrá y Antioquia,www.radionacional.co,0.3
2024-12-16,Medellín avanza hacia la Paz Urbana: en 2024, menor tasa de homicidios en más de cuatro décadas,analisisurbano.org,0.3
2024-12-02,Cártel del Golfo,es.wikipedia.org,0.3
2024-12-02,Medellín crime news,www.youtube.com,0.3
2024-12-02,En Medellín, 2024 fue el año con menos homicidios en 50 años,telemedellin.tv,0.3
2024-12-02,Gonzalo Rodríguez Gacha,es.wikipedia.org,0.3
2024-12-02,Cronología del Cartel de Medellín,es.wikipedia.org,0.3
2024-12-02,Medellín crime news,www.youtube.com,0.3
2024-12-02,Medellín crime news,www.youtube.com,0.3
2024-12-02,Cronología del Cartel de Medellín,es.wikipedia.org,0.3
2024-12-02,Medellín: 2024 cerraría con menos de 300 homicidios, la cifra más baja en 50 años,www.minuto30.com,0.3
2024-12-02,Medellín crime statistics and trends,www.fiscalia.gov.co,0.3
2024-12-02,Captura,www.elcolombiano.com,0.3
2024-01-27,Más de 1500 homicidios se registraron en Medellín entre los años 2020 a 2023,www.personeriamedellin.gov.co,0.3
2024-01-01,Antioquia inició el 2024 con cinco homicidios y 19 quemados,www.elcolombiano.com,0.3
2023-11-20,Los relatos de dos secuestros exprés ocurridos el fin de semana en las cercanías de Medellín,www.elcolombiano.com,0.3
2018-12-31,Medellín termina el 2018 con una dolorosa racha de siete homicidios en un solo día,www.noticiascaracol.com,0.3
2018-10-26,A bala, asesinan a una mujer en Envigado,caracol.com.co,0.3
2016-01-03,Medellín redujo los homicidios en un 70% en los últimos cuatro años,caracol.com.co,0.3
2015-12-31,Medellín cerró 2015 con importante reducción de homicidios,www.elcolombiano.com,0.3
2015-11-08,En las últimas 24 horas, se presentaron cinco homicidios en el Valle del Aburrá,www.elpalpitar.com,0.3
2015-02-01,Enero fue el mes con menos homicidios en Medellín en los últimos 35 años,caracol.com.co,0.3
2013-06-26,Cifras de homicidios en el Valle de Aburrá, con leve aumento,www.elcolombiano.com,0.3
2025-12-03,#Itagüí / Policía Nacional capturó 2 personas involucradas en un caso de extorsión en Itagüí,www.denunciasantioquia.com,0.3
2025-12-03,Se hicieron pasar por los ‘duros’ de Itagüí para extorsionar a un comerciante por $10 millones,www.minuto30.com,0.3
2025-12-03,,www.youtube.com,0.3
2025-10-06,Capturado jefe de Bomberos Voluntarios de Itagüí por presuntas irregularidades en contratos con el Área Metropolitana,www.alertapaisa.com,0.2
2024-12-02,Tren de Aragua,es.wikipedia.org,0.2
2024-12-02,El narcoturismo destruyendo o construyendo la memoria histórica del fenómeno del narcotráfico en Colombia,es.scribd.com,0.2
2021-12-15,Los rostros de los líderes sociales asesinados en Antioquia este año,www.elcolombiano.com,0.2
